Year,Units,Жынысы,Өңірлер,Аймақ,GeoCode,Value
2011,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,16.68
2012,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,16.71
2013,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,12.11
2014,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,11.98
2015,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,11.22
2016,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,8.95
2017,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,6.41
2018,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,7.98
2010,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,10.75
2011,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,12.51
2012,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,12.13
2013,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,10.56
2014,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,7.0
2015,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,7.8
2016,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,7.46
2017,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,6.27
2018,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,городское население,,5.71
2010,1000 туылғанға,қыздар,Алматы қаласы,городское население,,15.71
2011,1000 туылғанға,қыздар,Алматы қаласы,городское население,,17.27
2012,1000 туылғанға,қыздар,Алматы қаласы,городское население,,13.03
2013,1000 туылғанға,қыздар,Алматы қаласы,городское население,,9.43
2014,1000 туылғанға,қыздар,Алматы қаласы,городское население,,8.06
2015,1000 туылғанға,қыздар,Алматы қаласы,городское население,,9.36
2016,1000 туылғанға,қыздар,Алматы қаласы,городское население,,7.29
2017,1000 туылғанға,қыздар,Алматы қаласы,городское население,,7.9
2018,1000 туылғанға,қыздар,Алматы қаласы,городское население,,8.5
2018,1000 туылғанға,қыздар,Шымкент қаласы,городское население,,8.06
2010,1000 туылғанға,қыздар,,сельское население,,17.8
2011,1000 туылғанға,қыздар,,сельское население,,16.28
2012,1000 туылғанға,қыздар,,сельское население,,14.89
2013,1000 туылғанға,қыздар,,сельское население,,12.58
2014,1000 туылғанға,қыздар,,сельское население,,11.36
2015,1000 туылғанға,қыздар,,сельское население,,10.85
2016,1000 туылғанға,қыздар,,сельское население,,10.55
2017,1000 туылғанға,қыздар,,сельское население,,9.81
2018,1000 туылғанға,қыздар,,сельское население,,9.28
2010,1000 туылғанға,қыздар,Ақмола,сельское население,,14.41
2011,1000 туылғанға,қыздар,Ақмола,сельское население,,14.1
2012,1000 туылғанға,қыздар,Ақмола,сельское население,,11.67
2013,1000 туылғанға,қыздар,Ақмола,сельское население,,8.74
2014,1000 туылғанға,қыздар,Ақмола,сельское население,,10.47
2015,1000 туылғанға,қыздар,Ақмола,сельское население,,8.99
2016,1000 туылғанға,қыздар,Ақмола,сельское население,,10.76
2017,1000 туылғанға,қыздар,Ақмола,сельское население,,9.3
2018,1000 туылғанға,қыздар,Ақмола,сельское население,,6.07
2010,1000 туылғанға,қыздар,Ақтөбе,сельское население,,17.46
2011,1000 туылғанға,қыздар,Ақтөбе,сельское население,,14.33
2012,1000 туылғанға,қыздар,Ақтөбе,сельское население,,14.01
2013,1000 туылғанға,қыздар,Ақтөбе,сельское население,,10.53
2014,1000 туылғанға,қыздар,Ақтөбе,сельское население,,9.78
2015,1000 туылғанға,қыздар,Ақтөбе,сельское население,,9.6
2016,1000 туылғанға,қыздар,Ақтөбе,сельское население,,10.45
2017,1000 туылғанға,қыздар,Ақтөбе,сельское население,,13.32
2018,1000 туылғанға,қыздар,Ақтөбе,сельское население,,11.7
2010,1000 туылғанға,қыздар,Алматы,сельское население,,14.42
2011,1000 туылғанға,қыздар,Алматы,сельское население,,12.63
2012,1000 туылғанға,қыздар,Алматы,сельское население,,11.4
2013,1000 туылғанға,қыздар,Алматы,сельское население,,10.04
2014,1000 туылғанға,қыздар,Алматы,сельское население,,9.98
2015,1000 туылғанға,қыздар,Алматы,сельское население,,8.57
2016,1000 туылғанға,қыздар,Алматы,сельское население,,8.61
2017,1000 туылғанға,қыздар,Алматы,сельское население,,9.62
2018,1000 туылғанға,қыздар,Алматы,сельское население,,8.39
2010,1000 туылғанға,қыздар,Атырау,сельское население,,19.76
2011,1000 туылғанға,қыздар,Атырау,сельское население,,19.51
2012,1000 туылғанға,қыздар,Атырау,сельское население,,18.6
2013,1000 туылғанға,қыздар,Атырау,сельское население,,11.31
2014,1000 туылғанға,қыздар,Атырау,сельское население,,11.51
2015,1000 туылғанға,қыздар,Атырау,сельское население,,12.84
2016,1000 туылғанға,қыздар,Атырау,сельское население,,10.19
2017,1000 туылғанға,қыздар,Атырау,сельское население,,8.71
2018,1000 туылғанға,қыздар,Атырау,сельское население,,9.58
2010,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,14.29
2011,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,15.02
2012,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,11.94
2013,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,7.66
2014,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,8.74
2015,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,9.0
2016,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,8.06
2017,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,6.77
2018,1000 туылғанға,қыздар,Батыс Қазақстан,сельское население,,6.48
2010,1000 туылғанға,қыздар,Жамбыл,сельское население,,15.92
2011,1000 туылғанға,қыздар,Жамбыл,сельское население,,16.84
2012,1000 туылғанға,қыздар,Жамбыл,сельское население,,14.18
2013,1000 туылғанға,қыздар,Жамбыл,сельское население,,12.17
2014,1000 туылғанға,қыздар,Жамбыл,сельское население,,9.78
2015,1000 туылғанға,қыздар,Жамбыл,сельское население,,10.09
2016,1000 туылғанға,қыздар,Жамбыл,сельское население,,10.7
2017,1000 туылғанға,қыздар,Жамбыл,сельское население,,9.19
2018,1000 туылғанға,қыздар,Жамбыл,сельское население,,9.22
2010,1000 туылғанға,қыздар,Қарағанды,сельское население,,20.11
2011,1000 туылғанға,қыздар,Қарағанды,сельское население,,15.7
2012,1000 туылғанға,қыздар,Қарағанды,сельское население,,14.47
2013,1000 туылғанға,қыздар,Қарағанды,сельское население,,9.25
2014,1000 туылғанға,қыздар,Қарағанды,сельское население,,11.18
2015,1000 туылғанға,қыздар,Қарағанды,сельское население,,11.8
2016,1000 туылғанға,қыздар,Қарағанды,сельское население,,10.23
2017,1000 туылғанға,қыздар,Қарағанды,сельское население,,8.16
2018,1000 туылғанға,қыздар,Қарағанды,сельское население,,7.63
2010,1000 туылғанға,қыздар,Қостанай,сельское население,,12.22
2011,1000 туылғанға,қыздар,Қостанай,сельское население,,14.95
2012,1000 туылғанға,қыздар,Қостанай,сельское население,,15.64
2013,1000 туылғанға,қыздар,Қостанай,сельское население,,14.2
2014,1000 туылғанға,қыздар,Қостанай,сельское население,,12.57
2015,1000 туылғанға,қыздар,Қостанай,сельское население,,11.23
2016,1000 туылғанға,қыздар,Қостанай,сельское население,,11.26
2017,1000 туылғанға,қыздар,Қостанай,сельское население,,10.35
2018,1000 туылғанға,қыздар,Қостанай,сельское население,,10.45
2010,1000 туылғанға,қыздар,Қызылорда,сельское население,,27.2
2011,1000 туылғанға,қыздар,Қызылорда,сельское население,,20.13
2012,1000 туылғанға,қыздар,Қызылорда,сельское население,,23.6
2013,1000 туылғанға,қыздар,Қызылорда,сельское население,,18.36
2014,1000 туылғанға,қыздар,Қызылорда,сельское население,,15.62
2015,1000 туылғанға,қыздар,Қызылорда,сельское население,,13.31
2016,1000 туылғанға,қыздар,Қызылорда,сельское население,,11.22
2017,1000 туылғанға,қыздар,Қызылорда,сельское население,,9.43
2018,1000 туылғанға,қыздар,Қызылорда,сельское население,,10.08
2010,1000 туылғанға,қыздар,Маңғыстау,сельское население,,21.16
2011,1000 туылғанға,қыздар,Маңғыстау,сельское население,,20.04
2012,1000 туылғанға,қыздар,Маңғыстау,сельское население,,14.9
2013,1000 туылғанға,қыздар,Маңғыстау,сельское население,,11.02
2014,1000 туылғанға,қыздар,Маңғыстау,сельское население,,8.86
2015,1000 туылғанға,қыздар,Маңғыстау,сельское население,,10.05
2016,1000 туылғанға,қыздар,Маңғыстау,сельское население,,12.3
2017,1000 туылғанға,қыздар,Маңғыстау,сельское население,,10.89
2018,1000 туылғанға,қыздар,Маңғыстау,сельское население,,12.06
2010,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,19.31
2011,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,16.94
2012,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,16.53
2013,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,15.22
2014,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,13.07
2015,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,13.22
2016,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,12.12
2017,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,10.29
2018,1000 туылғанға,қыздар,Оңтүстік Қазақстан,сельское население,,9.69
2010,1000 туылғанға,қыздар,Павлодар,сельское население,,13.59
2011,1000 туылғанға,қыздар,Павлодар,сельское население,,21.14
2012,1000 туылғанға,қыздар,Павлодар,сельское население,,12.23
2013,1000 туылғанға,қыздар,Павлодар,сельское население,,7.13
2014,1000 туылғанға,қыздар,Павлодар,сельское население,,9.64
2015,1000 туылғанға,қыздар,Павлодар,сельское население,,6.87
2016,1000 туылғанға,қыздар,Павлодар,сельское население,,8.0
2017,1000 туылғанға,қыздар,Павлодар,сельское население,,7.26
2018,1000 туылғанға,қыздар,Павлодар,сельское население,,4.03
2010,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,16.93
2011,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,13.12
2012,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,10.01
2013,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,15.53
2014,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,10.19
2015,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,10.89
2016,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,6.8
2017,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,10.1
2018,1000 туылғанға,қыздар,Солтүстік Қазақстан,сельское население,,10.24
2018,1000 туылғанға,қыздар,Түркістан,сельское население,,9.69
2010,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,19.66
2011,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,19.19
2012,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,16.29
2013,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,14.46
2014,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,13.43
2015,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,10.63
2016,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,12.69
2017,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,11.08
2018,1000 туылғанға,қыздар,Шығыс Қазақстан,сельское население,,11.52
